# atom against which the first atom pushes

t	aID
0	10
1000	9
2000	9
3000	9
4000	9
5000	9
6000	9
7000	9
8000	8
9000	11
10000	9
11000	9
12000	10
13000	10
14000	8
15000	10
16000	10
17000	10
18000	8
19000	9
20000	10
21000	7
22000	9
23000	9
24000	8
25000	8
26000	8
27000	9
28000	8
29000	8
30000	8
31000	8
32000	8
33000	7
34000	9
35000	9
36000	8
37000	8
38000	9
39000	8
40000	8
41000	8
42000	9
43000	9
44000	8
45000	8
46000	8
47000	9
48000	7
49000	9
50000	10
51000	9
52000	8
53000	8
54000	8
55000	7
56000	8
57000	8
58000	7
59000	9
60000	8
61000	8
62000	8
63000	8
64000	8
65000	9
66000	9
67000	8
68000	8
69000	9
70000	9
71000	9
72000	8
73000	9
74000	8
75000	10
76000	9
77000	8
78000	8
79000	9
80000	9
81000	10
82000	9
83000	8
84000	9
85000	9
86000	8
87000	9
88000	9
89000	8
90000	9
91000	9
92000	9
93000	8
94000	9
95000	10
96000	9
97000	11
98000	11
99000	9
