# Time-averaged data for fix COMOUT
# TimeStep c_COM[1] c_COM[2] c_COM[3]
0 24.5 0 0
100 24.5059 0.00589901 0.0131655
200 24.4921 -0.00903741 -0.0184517
300 24.5281 0.0536051 -0.0671984
400 24.5155 0.134922 -0.159394
500 24.482 0.194292 -0.153958
600 24.4697 0.279085 -0.234209
700 24.5052 0.348557 -0.311598
800 24.533 0.419867 -0.310486
900 24.5212 0.425501 -0.421316
1000 24.5174 0.374133 -0.508648
1100 24.5987 0.295217 -0.396876
1200 24.5975 0.204768 -0.394394
1300 24.5528 0.142203 -0.455438
1400 24.442 0.174011 -0.56068
1500 24.4757 0.144074 -0.618944
1600 24.5804 0.205301 -0.522647
1700 24.5848 0.231551 -0.45383
1800 24.5704 0.323807 -0.324229
1900 24.6046 0.392912 -0.260479
2000 24.689 0.454891 -0.217232
2100 24.8226 0.631189 -0.188118
2200 24.8394 0.842722 -0.139289
2300 24.896 0.878677 -0.0736585
2400 24.9232 0.851448 -0.0761548
2500 24.9761 0.852153 -0.0182953
2600 24.9867 0.909454 -0.0266843
2700 25.0304 0.926985 -0.0288801
2800 25.0083 0.985047 -0.0674484
2900 24.9316 1.07082 -0.0713654
3000 24.848 1.12608 -0.117097
3100 24.826 1.18747 -0.107279
3200 24.8452 1.12595 -0.0957629
3300 24.9125 1.04344 -0.00139606
3400 24.9206 1.02936 0.0392426
3500 25.0182 0.956094 0.0494121
3600 25.1 0.891684 0.102406
3700 25.1443 0.940208 0.158496
3800 25.1117 0.980684 0.149423
3900 25.1579 1.06964 0.131577
4000 25.226 1.18831 0.0920101
4100 25.2053 1.32894 0.11916
4200 25.1159 1.44446 0.159009
4300 24.9709 1.51789 0.269414
4400 24.9215 1.51633 0.336717
4500 24.9147 1.4848 0.279617
4600 24.9294 1.47359 0.293493
4700 25.0034 1.41614 0.228589
4800 25.0325 1.35976 0.140235
4900 24.9713 1.35082 0.0672759
5000 24.8441 1.39064 0.0186209
5100 24.7819 1.43296 0.0894726
5200 24.6556 1.39977 0.213274
5300 24.5996 1.38549 0.299449
5400 24.5735 1.46499 0.258011
5500 24.6145 1.46098 0.25594
5600 24.6769 1.47197 0.242056
5700 24.7048 1.44336 0.289416
5800 24.6915 1.45369 0.354886
5900 24.7127 1.40021 0.316346
6000 24.6542 1.34454 0.374321
6100 24.6299 1.35382 0.42068
6200 24.6377 1.28427 0.508039
6300 24.6617 1.25109 0.538692
6400 24.7667 1.22145 0.527233
6500 24.8778 1.26725 0.543508
6600 24.9823 1.29595 0.57673
6700 25.0124 1.27996 0.65085
6800 25.0656 1.19426 0.681404
6900 25.1243 1.09895 0.761021
7000 25.1288 1.09262 0.738328
7100 25.085 1.11704 0.698553
